_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
13724,ET,69,Outside City Limits,Jan-11
13725,ET,341,Toronto,Jan-11
13726,NY,141,Outside City Limits,Jan-11
13727,NY,540,Toronto,Jan-11
13728,SC,129,Outside City Limits,Jan-11
13729,SC,545,Toronto,Jan-11
13730,TO,297,Toronto,Jan-11
13731,ET,83,Outside City Limits,Feb-11
13732,ET,224,Toronto,Feb-11
13733,NY,81,Outside City Limits,Feb-11
13734,NY,307,Toronto,Feb-11
13735,SC,68,Outside City Limits,Feb-11
13736,SC,339,Toronto,Feb-11
13737,TO,223,Toronto,Feb-11
13738,ET,116,Outside City Limits,Mar-11
13739,ET,233,Toronto,Mar-11
13740,NY,118,Outside City Limits,Mar-11
13741,NY,537,Toronto,Mar-11
13742,SC,117,Outside City Limits,Mar-11
13743,SC,283,Toronto,Mar-11
13744,TO,185,Toronto,Mar-11
13745,ET,83,Outside City Limits,Apr-11
13746,ET,290,Toronto,Apr-11
13747,NY,87,Outside City Limits,Apr-11
13748,NY,553,Toronto,Apr-11
13749,SC,85,Outside City Limits,Apr-11
13750,SC,372,Toronto,Apr-11
13751,TO,42,Toronto,Apr-11
13752,ET,57,Outside City Limits,May-11
13753,ET,176,Toronto,May-11
13754,NY,92,Outside City Limits,May-11
13755,NY,480,Toronto,May-11
13756,SC,51,Outside City Limits,May-11
13757,SC,253,Toronto,May-11
13758,ET,30,Outside City Limits,Jun-11
13759,ET,239,Toronto,Jun-11
13760,NY,107,Outside City Limits,Jun-11
13761,NY,479,Toronto,Jun-11
13762,SC,84,Outside City Limits,Jun-11
13763,SC,518,Toronto,Jun-11
13764,ET,40,Outside City Limits,Jul-11
13765,ET,317,Toronto,Jul-11
13766,NY,50,Outside City Limits,Jul-11
13767,NY,315,Toronto,Jul-11
13768,SC,43,Outside City Limits,Jul-11
13769,SC,312,Toronto,Jul-11
13770,TO,13,Outside City Limits,Jul-11
13771,TO,51,Toronto,Jul-11
13772,ET,169,Outside City Limits,Aug-11
13773,ET,165,Toronto,Aug-11
13774,NY,117,Outside City Limits,Aug-11
13775,NY,389,Toronto,Aug-11
13776,SC,93,Outside City Limits,Aug-11
13777,SC,320,Toronto,Aug-11
13778,TO,4,Outside City Limits,Aug-11
13779,TO,273,Toronto,Aug-11
13780,ET,74,Outside City Limits,Sep-11
13781,ET,176,Toronto,Sep-11
13782,NY,133,Outside City Limits,Sep-11
13783,NY,610,Toronto,Sep-11
13784,SC,58,Outside City Limits,Sep-11
13785,SC,394,Toronto,Sep-11
13786,ET,85,Outside City Limits,Oct-11
13787,ET,245,Toronto,Oct-11
13788,NY,123,Outside City Limits,Oct-11
13789,NY,498,Toronto,Oct-11
13790,SC,57,Outside City Limits,Oct-11
13791,SC,492,Toronto,Oct-11
13792,TO,5,Toronto,Oct-11
13793,ET,70,Outside City Limits,Nov-11
13794,ET,250,Toronto,Nov-11
13795,NY,104,Outside City Limits,Nov-11
13796,NY,458,Toronto,Nov-11
13797,SC,73,Outside City Limits,Nov-11
13798,SC,378,Toronto,Nov-11
13799,ET,68,Outside City Limits,Dec-11
13800,ET,174,Toronto,Dec-11
13801,NY,110,Outside City Limits,Dec-11
13802,NY,420,Toronto,Dec-11
13803,SC,94,Outside City Limits,Dec-11
13804,SC,456,Toronto,Dec-11
13805,ET,127,Outside City Limits,Jan-12
13806,ET,396,Toronto,Jan-12
13807,NY,81,Outside City Limits,Jan-12
13808,NY,424,Toronto,Jan-12
13809,SC,47,Outside City Limits,Jan-12
13810,SC,432,Toronto,Jan-12
13811,TO,97,Toronto,Jan-12
13812,ET,58,Outside City Limits,Feb-12
13813,ET,362,Toronto,Feb-12
13814,NY,62,Outside City Limits,Feb-12
13815,NY,304,Toronto,Feb-12
13816,SC,137,Outside City Limits,Feb-12
13817,SC,508,Toronto,Feb-12
13818,TO,12,Toronto,Feb-12
13819,ET,179,Outside City Limits,Mar-12
13820,ET,493,Toronto,Mar-12
13821,NY,39,Outside City Limits,Mar-12
13822,NY,271,Toronto,Mar-12
13823,SC,75,Outside City Limits,Mar-12
13824,SC,432,Toronto,Mar-12
13825,ET,188,Outside City Limits,Apr-12
13826,ET,452,Toronto,Apr-12
13827,NY,14,Outside City Limits,Apr-12
13828,NY,214,Toronto,Apr-12
13829,SC,23,Outside City Limits,Apr-12
13830,SC,254,Toronto,Apr-12
13831,ET,137,Outside City Limits,May-12
13832,ET,658,Toronto,May-12
13833,NY,23,Outside City Limits,May-12
13834,NY,245,Toronto,May-12
13835,SC,67,Outside City Limits,May-12
13836,SC,359,Toronto,May-12
13837,ET,172,Outside City Limits,Jun-12
13838,ET,521,Toronto,Jun-12
13839,NY,55,Outside City Limits,Jun-12
13840,NY,138,Toronto,Jun-12
13841,SC,117,Outside City Limits,Jun-12
13842,SC,561,Toronto,Jun-12
13843,ET,105,Outside City Limits,Jul-12
13844,ET,264,Toronto,Jul-12
13845,NY,70,Outside City Limits,Jul-12
13846,NY,387,Toronto,Jul-12
13847,SC,52,Outside City Limits,Jul-12
13848,SC,293,Toronto,Jul-12
13849,ET,99,Outside City Limits,Aug-12
13850,ET,437,Toronto,Aug-12
13851,NY,77,Outside City Limits,Aug-12
13852,NY,286,Toronto,Aug-12
13853,SC,46,Outside City Limits,Aug-12
13854,SC,142,Toronto,Aug-12
13855,ET,106,Outside City Limits,Sep-12
13856,ET,425,Toronto,Sep-12
13857,NY,84,Outside City Limits,Sep-12
13858,NY,380,Toronto,Sep-12
13859,SC,115,Outside City Limits,Sep-12
13860,SC,590,Toronto,Sep-12
13861,ET,103,Outside City Limits,Oct-12
13862,ET,451,Toronto,Oct-12
13863,NY,107,Outside City Limits,Oct-12
13864,NY,377,Toronto,Oct-12
13865,SC,84,Outside City Limits,Oct-12
13866,SC,473,Toronto,Oct-12
13867,ET,85,Outside City Limits,Nov-12
13868,ET,293,Toronto,Nov-12
13869,NY,88,Outside City Limits,Nov-12
13870,NY,314,Toronto,Nov-12
13871,SC,79,Outside City Limits,Nov-12
