_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
8354,ET,80,Jan-11
8355,NY,136,Jan-11
8356,SC,159,Jan-11
8357,TO,367,Jan-11
8358,ET,109,Feb-11
8359,NY,150,Feb-11
8360,SC,154,Feb-11
8361,TO,383,Feb-11
8362,ET,177,Mar-11
8363,NY,231,Mar-11
8364,SC,213,Mar-11
8365,TO,589,Mar-11
8366,ET,178,Apr-11
8367,NY,277,Apr-11
8368,SC,261,Apr-11
8369,TO,660,Apr-11
8370,ET,263,May-11
8371,NY,376,May-11
8372,SC,375,May-11
8373,TO,871,May-11
8374,ET,255,Jun-11
8375,NY,365,Jun-11
8376,SC,334,Jun-11
8377,TO,870,Jun-11
8378,ET,238,Jul-11
8379,NY,364,Jul-11
8380,SC,352,Jul-11
8381,TO,989,Jul-11
8382,ET,257,Aug-11
8383,NY,366,Aug-11
8384,SC,345,Aug-11
8385,TO,965,Aug-11
8386,ET,152,Sep-11
8387,NY,255,Sep-11
8388,SC,276,Sep-11
8389,TO,638,Sep-11
8390,ET,126,Oct-11
8391,NY,201,Oct-11
8392,SC,218,Oct-11
8393,TO,468,Oct-11
8394,ET,103,Nov-11
8395,NY,191,Nov-11
8396,SC,182,Nov-11
8397,TO,340,Nov-11
8398,ET,109,Dec-11
8399,NY,171,Dec-11
8400,SC,149,Dec-11
8401,TO,356,Dec-11
8402,ET,115,Jan-12
8403,NY,176,Jan-12
8404,SC,171,Jan-12
8405,TO,440,Jan-12
8406,ET,134,Feb-12
8407,NY,195,Feb-12
8408,SC,160,Feb-12
8409,TO,390,Feb-12
8410,ET,183,Mar-12
8411,NY,234,Mar-12
8412,SC,243,Mar-12
8413,TO,567,Mar-12
8414,ET,194,Apr-12
8415,NY,225,Apr-12
8416,SC,252,Apr-12
8417,TO,561,Apr-12
8418,ET,217,May-12
8419,NY,294,May-12
8420,SC,332,May-12
8421,TO,807,May-12
8422,ET,262,Jun-12
8423,NY,353,Jun-12
8424,SC,340,Jun-12
8425,TO,888,Jun-12
8426,ET,269,Jul-12
8427,NY,404,Jul-12
8428,SC,371,Jul-12
8429,TO,971,Jul-12
8430,ET,251,Aug-12
8431,NY,353,Aug-12
8432,SC,346,Aug-12
8433,TO,980,Aug-12
8434,ET,132,Sep-12
8435,NY,233,Sep-12
8436,SC,215,Sep-12
8437,TO,563,Sep-12
8438,ET,156,Oct-12
8439,NY,208,Oct-12
8440,SC,215,Oct-12
8441,TO,486,Oct-12
8442,ET,85,Nov-12
8443,NY,180,Nov-12
8444,SC,170,Nov-12
8445,TO,391,Nov-12
8446,ET,99,Dec-12
8447,NY,163,Dec-12
8448,SC,158,Dec-12
8449,TO,365,Dec-12
8450,ET,91,Jan-13
8451,NY,169,Jan-13
8452,SC,138,Jan-13
8453,TO,365,Jan-13
8454,ET,90,Feb-13
8455,NY,163,Feb-13
8456,SC,126,Feb-13
8457,TO,346,Feb-13
8458,ET,130,Mar-13
8459,NY,217,Mar-13
8460,SC,188,Mar-13
8461,TO,455,Mar-13
8462,ET,177,Apr-13
8463,NY,298,Apr-13
8464,SC,219,Apr-13
8465,TO,666,Apr-13
8466,ET,223,May-13
8467,NY,310,May-13
8468,SC,300,May-13
8469,TO,748,May-13
8470,ET,212,Jun-13
8471,NY,286,Jun-13
8472,SC,303,Jun-13
8473,TO,778,Jun-13
8474,ET,258,Jul-13
8475,NY,450,Jul-13
8476,SC,319,Jul-13
8477,TO,972,Jul-13
8478,ET,244,Aug-13
8479,NY,324,Aug-13
8480,SC,322,Aug-13
8481,TO,931,Aug-13
8482,ET,157,Sep-13
8483,NY,232,Sep-13
8484,SC,233,Sep-13
8485,TO,607,Sep-13
